Name,Genre,Platform,Global_Sales,Cluster
Call of Duty: Modern Warfare 2,Shooter,PS3,10.69,3
Grand Theft Auto IV,Action,PS3,10.57,3
Super Mario All-Stars,Platform,SNES,10.55,3
Pokemon FireRed/Pokemon LeafGreen,Role-Playing,GBA,10.49,3
Super Mario 64,Platform,DS,10.42,3
Just Dance 3,Misc,Wii,10.26,3
Call of Duty: Ghosts,Shooter,X360,10.21,3
Halo: Reach,Shooter,X360,9.88,3
Mario Kart 64,Racing,N64,9.87,3
New Super Mario Bros. 2,Platform,3DS,9.82,3
Halo 4,Shooter,X360,9.76,3
Final Fantasy VII,Role-Playing,PS,9.72,3
Call of Duty: Ghosts,Shooter,PS3,9.59,3
Just Dance 2,Misc,Wii,9.52,3
Gran Turismo 2,Racing,PS,9.49,3
Call of Duty 4: Modern Warfare,Shooter,X360,9.32,3
Donkey Kong Country,Platform,SNES,9.3,3
Minecraft,Misc,X360,9.2,3
Animal Crossing: New Leaf,Simulation,3DS,9.09,3
Mario Party DS,Misc,DS,9.02,3
The Elder Scrolls V: Skyrim,Role-Playing,X360,8.84,3
Super Mario Kart,Racing,SNES,8.76,3
FIFA 16,Sports,PS4,8.49,3
Wii Party,Misc,Wii,8.49,3
Halo 2,Shooter,XB,8.49,3
Mario Party 8,Misc,Wii,8.42,3
Pokemon Black 2/Pokemon White 2,Role-Playing,DS,8.33,3
FIFA Soccer 13,Action,PS3,8.24,3
The Sims 3,Simulation,PC,8.11,3
GoldenEye 007,Shooter,N64,8.09,3
Mario & Sonic at the Olympic Games,Sports,Wii,8.06,3
Final Fantasy X,Role-Playing,PS2,8.05,3
Final Fantasy VIII,Role-Playing,PS,7.86,3
Pokémon Platinum Version,Role-Playing,DS,7.84,3
Pac-Man,Puzzle,2600,7.81,3
Grand Theft Auto: Liberty City Stories,Action,PSP,7.72,3
Super Mario Galaxy 2,Platform,Wii,7.69,3
Star Wars Battlefront (2015),Shooter,PS4,7.67,3
Call of Duty: Advanced Warfare,Shooter,PS4,7.6,3
The Legend of Zelda: Ocarina of Time,Action,N64,7.6,3
Crash Bandicoot 2: Cortex Strikes Back,Platform,PS,7.58,3
Super Mario Bros. 2,Platform,NES,7.46,3
Super Smash Bros. for Wii U and 3DS,Fighting,3DS,7.45,3
Call of Duty: World at War,Shooter,X360,7.37,3
Battlefield 3,Shooter,X360,7.34,3
The Legend of Zelda: Twilight Princess,Action,Wii,7.31,3
Call of Duty: Black Ops 3,Shooter,XOne,7.3,3
Just Dance,Misc,Wii,7.27,3
Battlefield 3,Shooter,PS3,7.23,3
Need for Speed Underground,Racing,PS2,7.2,3
Tekken 3,Fighting,PS,7.16,3
Crash Bandicoot 3: Warped,Platform,PS,7.13,3
Super Smash Bros. Melee,Fighting,GC,7.07,3
Mario Kart 8,Racing,WiiU,6.96,3
Fallout 4,Role-Playing,PS4,6.96,3
Mario Kart: Double Dash!!,Racing,GC,6.95,3
Just Dance 4,Misc,Wii,6.91,3
FIFA 14,Sports,PS3,6.9,3
Need for Speed Underground 2,Racing,PS2,6.9,3
Medal of Honor: Frontline,Shooter,PS2,6.83,3
Uncharted 3: Drake's Deception,Action,PS3,6.83,3
Crash Bandicoot,Platform,PS,6.82,3
Zumba Fitness,Sports,Wii,6.81,3
Gears of War 2,Shooter,X360,6.76,3
Uncharted 2: Among Thieves,Action,PS3,6.73,3
Call of Duty 4: Modern Warfare,Shooter,PS3,6.72,3
FIFA 12,Sports,PS3,6.69,3
Big Brain Academy,Misc,DS,6.67,3
Red Dead Redemption,Action,PS3,6.6,3
FIFA 15,Sports,PS4,6.59,3
Donkey Kong Country Returns,Platform,Wii,6.59,3
The Elder Scrolls V: Skyrim,Role-Playing,PS3,6.56,3
The Legend of Zelda,Action,NES,6.51,3
Assassin's Creed III,Action,PS3,6.5,3
Halo: Combat Evolved,Shooter,XB,6.43,3
Pokémon Emerald Version,Role-Playing,GBA,6.41,3
Kingdom Hearts,Role-Playing,PS2,6.4,3
Pokémon Crystal Version,Role-Playing,GB,6.39,3
Halo 3: ODST,Shooter,X360,6.36,3
Red Dead Redemption,Action,X360,6.34,3
Super Mario Sunshine,Platform,GC,6.31,3
Street Fighter II: The World Warrior,Fighting,SNES,6.3,3
World of Warcraft,Role-Playing,PC,6.28,3
Driver,Action,PS,6.27,3
Kinect Sports,Sports,X360,6.24,3
Gears of War 3,Shooter,X360,6.24,3
Gears of War,Shooter,X360,6.11,3
Metal Gear Solid 2: Sons of Liberty,Action,PS2,6.05,3
Sonic the Hedgehog 2,Platform,GEN,6.03,3
Metal Gear Solid 4: Guns of the Patriots,Action,PS3,6.03,3
Metal Gear Solid,Action,PS,6.03,3
The Last of Us,Action,PS3,5.99,3
Final Fantasy XII,Role-Playing,PS2,5.95,3
LittleBigPlanet,Platform,PS3,5.92,3
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,DS,5.84,3
LEGO Star Wars: The Complete Saga,Action,Wii,5.83,3
Resident Evil 2,Action,PS,5.82,3
Tekken 2,Fighting,PS,5.74,3
Cooking Mama,Simulation,DS,5.72,3
Destiny,Shooter,PS4,5.65,3
Tetris,Puzzle,NES,5.58,3
Assassin's Creed II,Action,PS3,5.57,3
Super Smash Bros.,Fighting,N64,5.55,3
Assassin's Creed,Adventure,X360,5.55,3
Batman: Arkham City,Action,PS3,5.53,3
Forza Motorsport 3,Racing,X360,5.51,3
Monster Hunter Freedom Unite,Role-Playing,PSP,5.5,3
Super Mario Advance,Platform,GBA,5.49,3
Mario Kart: Super Circuit,Racing,GBA,5.47,3
Super Mario World,Platform,GBA,5.46,3
Pokemon Stadium,Strategy,N64,5.45,3
Call of Duty: World at War,Shooter,PS3,5.43,3
Crash Bandicoot: The Wrath of Cortex,Platform,PS2,5.42,3
Minecraft,Misc,PS3,5.42,3
Final Fantasy XIII,Role-Playing,PS3,5.36,3
Dr. Mario,Puzzle,GB,5.34,3
Pokemon Pinball,Misc,GB,5.31,3
Assassin's Creed III,Action,X360,5.3,3
Final Fantasy IX,Role-Playing,PS,5.3,3
Final Fantasy X-2,Role-Playing,PS2,5.29,3
Donkey Kong 64,Platform,N64,5.27,3
Assassin's Creed II,Action,X360,5.27,3
Professor Layton and the Curious Village,Puzzle,DS,5.26,3
Tomb Raider II,Action,PS,5.24,3
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,PS2,5.21,3
Diablo III,Role-Playing,PC,5.2,3
Super Mario Bros. 3,Platform,GBA,5.2,3
New Super Mario Bros. U,Platform,WiiU,5.19,3
Super Mario Land 3: Wario Land,Platform,GB,5.19,3
FIFA Soccer 13,Action,X360,5.18,3
The Legend of Zelda: Phantom Hourglass,Action,DS,5.17,3
Donkey Kong Country 2: Diddy's Kong Quest,Platform,SNES,5.15,3
Tomodachi Life,Simulation,3DS,5.15,3
Mario & Sonic at the Olympic Games,Sports,DS,5.14,3
Medal of Honor: Rising Sun,Shooter,PS2,5.13,3
Kirby's Dream Land,Platform,GB,5.13,3
Fable III,Role-Playing,X360,5.13,3
Call of Duty: Advanced Warfare,Shooter,XOne,5.13,3
Microsoft Flight Simulator,Simulation,PC,5.12,3
Guitar Hero II,Misc,PS2,5.12,3
Resident Evil 5,Action,PS3,5.11,3
Grand Theft Auto V,Action,XOne,5.08,3
Grand Theft Auto: Vice City Stories,Action,PSP,5.08,3
FIFA Soccer 11,Sports,PS3,5.08,3
Super Mario Bros.,Platform,GB,5.07,3
Resident Evil,Action,PS,5.05,3
Tony Hawk's Pro Skater,Sports,PS,5.02,3
Super Smash Bros. for Wii U and 3DS,Fighting,WiiU,5.02,3
Warzone 2100,Strategy,PS,5.01,3
Spyro the Dragon,Platform,PS,5.0,3
Link's Crossbow Training,Shooter,Wii,5.0,3
Guitar Hero III: Legends of Rock,Misc,PS2,4.98,3
Fallout 3,Role-Playing,X360,4.96,3
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,Role-Playing,DS,4.96,3
Uncharted: Drake's Fortune,Action,PS3,4.94,3
Madden NFL 06,Sports,PS2,4.91,3
LEGO Star Wars: The Complete Saga,Action,DS,4.9,3
Diddy Kong Racing,Racing,N64,4.88,3
Monster Hunter Freedom 3,Role-Playing,PSP,4.87,3
Dr. Mario,Puzzle,NES,4.85,3
God of War III,Action,PS3,4.84,3
StarCraft II: Wings of Liberty,Strategy,PC,4.83,3
Assassin's Creed,Adventure,PS3,4.83,3
FIFA 15,Sports,PS3,4.82,3
Crash Team Racing,Racing,PS,4.79,3
FIFA 17,Sports,PS4,4.77,3
Batman: Arkham City,Action,X360,4.76,3
Driver 2,Action,PS,4.73,3
The Simpsons: Hit & Run,Racing,PS2,4.7,3
Tony Hawk's Pro Skater 2,Sports,PS,4.68,3
Animal Crossing: City Folk,Simulation,Wii,4.68,3
The Lord of the Rings: The Two Towers,Action,PS2,4.67,3
Forza Motorsport 4,Racing,X360,4.64,3
Tomb Raider,Action,PS,4.63,3
Guitar Hero III: Legends of Rock,Misc,Wii,4.62,3
The Legend of Zelda: A Link to the Past,Action,SNES,4.61,3
The Legend of Zelda: The Wind Waker,Action,GC,4.6,3
Mario & Sonic at the Olympic Winter Games,Sports,Wii,4.58,3
Luigi's Mansion: Dark Moon,Action,3DS,4.58,3
Splatoon,Shooter,WiiU,4.57,3
The Last of Us,Action,PS4,4.55,3
Guitar Hero III: Legends of Rock,Misc,X360,4.53,3
Madden NFL 2005,Sports,PS2,4.53,3
Pitfall!,Platform,2600,4.5,3
Madden NFL 07,Sports,PS2,4.49,3
Spider-Man: The Movie,Action,PS2,4.48,3
Dragon Quest VII: Warriors of Eden,Role-Playing,PS,4.47,3
Uncharted: The Nathan Drake Collection,Action,PS4,4.47,3
Call of Duty: Advanced Warfare,Shooter,PS3,4.45,3
God of War,Action,PS2,4.45,3
Nintendo Land,Misc,WiiU,4.44,3
Michael Jackson: The Experience,Misc,Wii,4.42,3
Tony Hawk's Pro Skater 3,Sports,PS2,4.41,3
Winning Eleven: Pro Evolution Soccer 2007,Sports,PS2,4.39,3
The Elder Scrolls IV: Oblivion,Role-Playing,X360,4.39,3
Zelda II: The Adventure of Link,Adventure,NES,4.38,3
Need for Speed: Most Wanted,Racing,PS2,4.37,3
Resistance: Fall of Man,Shooter,PS3,4.35,3
Sonic the Hedgehog,Platform,GEN,4.34,3
Kingdom Hearts II,Role-Playing,PS2,4.33,3
FIFA 14,Sports,X360,4.31,3
Call of Duty: Advanced Warfare,Shooter,X360,4.31,3
Asteroids,Shooter,2600,4.31,3
Fable II,Role-Playing,X360,4.31,3
Halo 5: Guardians,Shooter,XOne,4.26,3
Super Mario 3D World,Platform,WiiU,4.25,3
Batman: Arkham Asylum,Action,PS3,4.25,3
Assassin's Creed: Revelations,Action,PS3,4.24,3
Namco Museum,Misc,GBA,4.24,3
Metal Gear Solid 3: Snake Eater,Action,PS2,4.23,3
Daxter,Platform,PSP,4.22,3
Warcraft II: Tides of Darkness,Strategy,PC,4.21,3
The Legend of Zelda: Ocarina of Time,Action,3DS,4.21,3
FIFA Soccer 06,Sports,PS2,4.21,3
EyeToy Play,Misc,PS2,4.2,3
Uncharted 4: A Thief's End,Shooter,PS4,4.2,3
Gran Turismo 5 Prologue,Racing,PS3,4.2,3
Assassin's Creed: Revelations,Action,X360,4.19,3
Street Fighter IV,Fighting,PS3,4.19,3
FIFA 12,Sports,X360,4.19,3
Teenage Mutant Ninja Turtles,Action,NES,4.17,3
Excitebike,Racing,NES,4.16,3
Frogger,Action,PS,4.16,3
Madden NFL 2003,Sports,PS2,4.14,3
Watch Dogs,Action,PS4,4.14,3
Half-Life,Shooter,PC,4.12,2
Super Mario World 2: Yoshi's Island,Platform,SNES,4.12,3
FIFA Soccer 07,Sports,PS2,4.11,3
The Legend of Zelda: Skyward Sword,Action,Wii,4.1,3
Street Fighter II Turbo,Fighting,SNES,4.1,3
Carnival Games,Misc,Wii,4.1,3
Fallout 4,Role-Playing,XOne,4.09,3
World of Warcraft: The Burning Crusade,Role-Playing,PC,4.09,3
Fallout: New Vegas,Role-Playing,X360,4.08,3
God of War II,Action,PS2,4.07,3
Forza Motorsport 2,Racing,X360,4.06,3
World Soccer Winning Eleven 9,Sports,PS2,4.06,3
Namco Museum Vol.3,Misc,PS,4.05,3
Tekken Tag Tournament,Fighting,PS2,4.05,3
Far Cry 4,Shooter,PS4,4.03,3
Star Fox 64,Shooter,N64,4.03,3
Minecraft,Misc,PS4,4.02,3
Golf,Sports,NES,4.01,3
Fallout 3,Role-Playing,PS3,4.01,3
Professor Layton and the Diabolical Box,Puzzle,DS,4.0,3
Left 4 Dead 2,Shooter,X360,3.99,3
Namco Museum: 50th Anniversary,Misc,PS2,3.98,3
EA Sports Active,Sports,Wii,3.92,3
Assassin's Creed: Unity,Action,PS4,3.92,3
Donkey Kong Land,Platform,GB,3.91,3
Tony Hawk's Underground,Sports,PS2,3.9,3
Assassin's Creed IV: Black Flag,Action,PS3,3.89,3
Monster Hunter 4 Ultimate,Role-Playing,3DS,3.89,3
MotorStorm,Racing,PS3,3.88,3
The Elder Scrolls V: Skyrim,Role-Playing,PC,3.88,3
Tekken 5,Fighting,PS2,3.87,3
Dragon Warrior III,Role-Playing,NES,3.87,3
Sports Champions,Sports,PS3,3.87,3
NBA 2K16,Sports,PS4,3.85,3
World Soccer Winning Eleven 8 International,Sports,PS2,3.85,3
Flash Focus: Vision Training in Minutes a Day,Misc,DS,3.84,3
Namco Museum Vol.1,Misc,PS,3.84,3
The Legend of Zelda: Link's Awakening,Action,GB,3.83,3
Mario & Luigi: Bowser's Inside Story,Role-Playing,DS,3.83,3
Big Brain Academy: Wii Degree,Misc,Wii,3.82,3
Nintendogs + cats,Simulation,3DS,3.81,3
Batman: Arkham Knight,Action,PS4,3.79,3
Mario & Sonic at the London 2012 Olympic Games,Sports,Wii,3.78,3
LEGO Indiana Jones: The Original Adventures,Action,X360,3.78,3
Resident Evil Director's Cut,Action,PS,3.77,3
Ratchet & Clank: Size Matters,Platform,PSP,3.77,3
Just Dance 2014,Misc,Wii,3.76,3
The Sims: Unleashed,Simulation,PC,3.76,3
Super Paper Mario,Platform,Wii,3.76,3
Harry Potter and the Sorcerer's Stone,Action,PS,3.73,3
The Witcher 3: Wild Hunt,Role-Playing,PS4,3.73,3
Resident Evil 3: Nemesis,Action,PS,3.72,3
Spyro: Year of the Dragon,Platform,PS,3.71,3
FIFA Soccer 2005,Sports,PS2,3.7,3
Pokémon Trading Card Game,Strategy,GB,3.7,3
Battlefield 4,Shooter,PS3,3.69,3
MySims,Simulation,DS,3.69,3
Friend Collection,Misc,DS,3.67,3
Tony Hawk's Pro Skater 4,Sports,PS2,3.67,3
Midnight Club 3: DUB Edition,Racing,PSP,3.66,3
Banjo-Kazooie,Platform,N64,3.65,3
SOCOM: U.S. Navy SEALs,Shooter,PS2,3.65,3
Guitar Hero: World Tour,Misc,Wii,3.65,3
Gran Turismo 6,Racing,PS3,3.64,3
Jak and Daxter: The Precursor Legacy,Platform,PS2,3.64,3
Pokemon Snap,Simulation,N64,3.63,3
FIFA Soccer 10,Sports,PS3,3.63,3
Pro Evolution Soccer 2008,Sports,PS2,3.63,3
Call of Duty: Ghosts,Shooter,PS4,3.63,3
Resident Evil 4,Action,PS2,3.62,3
Tom Clancy's The Division,Shooter,PS4,3.61,3
Star Wars: Battlefront,Shooter,PS2,3.61,3
Doom II: Hell on Earth,Shooter,PC,3.61,3
The Simpsons: Road Rage,Racing,PS2,3.61,3
Cooking Mama 2: Dinner With Friends,Simulation,DS,3.61,3
Luigi's Mansion,Action,GC,3.6,3
Star Wars: Battlefront II,Shooter,PS2,3.59,3
WWF SmackDown!,Fighting,PS,3.58,3
Croc: Legend of the Gobbos,Platform,PS,3.56,3
Grand Theft Auto: Liberty City Stories,Action,PS2,3.54,3
The Getaway,Action,PS2,3.54,3
Tomb Raider III: Adventures of Lara Croft,Action,PS,3.54,3
James Bond 007: Agent Under Fire,Shooter,PS2,3.53,3
LEGO Star Wars: The Video Game,Action,PS2,3.53,3
Battlefield 4,Shooter,X360,3.53,3
FIFA Soccer 11,Sports,X360,3.53,3
Rugrats in Paris: The Movie,Action,PS,3.52,3
Spyro 2: Ripto's Rage!,Platform,PS,3.52,3
Left 4 Dead,Shooter,X360,3.52,3
Mario & Sonic at the Olympic Winter Games,Sports,DS,3.52,3
Resident Evil 5,Action,X360,3.51,3
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Platform,SNES,3.51,3
Assassin's Creed: Brotherhood,Action,X360,3.5,2
Kung Fu,Action,NES,3.5,3
Batman: Arkham Asylum,Action,X360,3.5,3
Clubhouse Games,Misc,DS,3.5,3
Star Wars Battlefront (2015),Shooter,XOne,3.49,3
Battlefield: Bad Company 2,Shooter,X360,3.48,3
Guitar Hero: On Tour,Misc,DS,3.48,3
Assassin's Creed: Unity,Action,XOne,3.46,3
Far Cry 3,Shooter,PS3,3.45,3
Monster Hunter 4,Role-Playing,3DS,3.44,3
Borderlands,Shooter,X360,3.44,3
Tekken 4,Fighting,PS2,3.44,3
Battlefield 4,Shooter,PS4,3.43,3
LittleBigPlanet 2,Platform,PS3,3.42,3
Grand Theft Auto 2,Action,PS,3.42,3
Final Fantasy III,Role-Playing,SNES,3.42,3
Spider-Man 2,Action,PS2,3.41,3
F-1 Race,Racing,GB,3.41,3
FIFA Soccer 2003,Sports,PS2,3.4,3
Crash Bash,Misc,PS,3.39,3
LEGO Batman: The Videogame,Action,X360,3.38,3
Metal Gear Solid V: The Phantom Pain,Action,PS4,3.38,3
The Legend of Zelda: Spirit Tracks,Action,DS,3.38,3
WWF War Zone,Fighting,PS,3.36,2
The Legend of Zelda: Majora's Mask,Action,N64,3.36,2
Professor Layton and the Unwound Future,Puzzle,DS,3.36,3
Rugrats: Search For Reptar,Adventure,PS,3.34,3
Assassin's Creed IV: Black Flag,Action,X360,3.34,3
English Training: Have Fun Improving Your Skills!,Misc,DS,3.33,3
James Bond 007: Nightfire,Shooter,PS2,3.33,3
Ratchet & Clank,Platform,PS2,3.33,3
Mario Party 9,Misc,Wii,3.32,3
Star Wars Episode III: Revenge of the Sith,Action,PS2,3.32,3
Max Payne,Shooter,PS2,3.31,2
The Lord of the Rings: The Return of the King,Action,PS2,3.28,3
Assassin's Creed Syndicate,Action,PS4,3.28,3
Destiny,Shooter,XOne,3.28,2
True Crime: Streets of LA,Action,PS2,3.27,3
Wii Music,Misc,Wii,3.27,3
Gran Turismo (PSP),Racing,PSP,3.27,3
Monster Hunter X,Action,3DS,3.26,3
Tekken,Fighting,PS,3.24,3
FIFA 16,Sports,XOne,3.23,3
L.A. Noire,Adventure,PS3,3.23,3
Madden NFL 16,Sports,PS4,3.22,3
Yokai Watch 2 Ganso/Honke,Role-Playing,3DS,3.22,3
007: Tomorrow Never Dies,Shooter,PS,3.21,2
Baseball,Sports,NES,3.2,3
Killer Instinct,Fighting,SNES,3.2,2
WWF SmackDown! 2: Know Your Role,Fighting,PS,3.2,2
Crisis Core: Final Fantasy VII,Role-Playing,PSP,3.19,3
God of War: Chains of Olympus,Action,PSP,3.19,3
Dragon Quest VI: Maboroshi no Daichi,Role-Playing,SNES,3.19,3
Dance Central,Misc,X360,3.19,2
Enter the Matrix,Action,PS2,3.18,2
Super Mario Maker,Platform,WiiU,3.18,3
Fallout: New Vegas,Role-Playing,PS3,3.17,3
Rhythm Heaven,Misc,DS,3.17,3
Ace Combat 04: Shattered Skies,Simulation,PS2,3.17,2
Club Penguin: Elite Penguin Force,Adventure,DS,3.16,2
Animal Crossing,Simulation,GC,3.15,2
LEGO Batman: The Videogame,Action,DS,3.15,2
Sonic Rush,Platform,DS,3.15,3
Resident Evil 6,Shooter,PS3,3.15,3
Halo: The Master Chief Collection,Shooter,XOne,3.15,2
FIFA Soccer 08,Sports,PS2,3.14,3
Spider-Man,Action,PS,3.13,2
Need for Speed III: Hot Pursuit,Racing,PS,3.12,2
Star Wars Episode I Racer,Racing,N64,3.12,2
Personal Trainer: Cooking,Misc,DS,3.12,3
The Elder Scrolls IV: Oblivion,Role-Playing,PS3,3.12,3
Dragon Warrior IV,Role-Playing,NES,3.12,3
Heavy Rain,Adventure,PS3,3.12,3
Mass Effect 2,Role-Playing,X360,3.11,2
FIFA 15,Sports,X360,3.11,3
Dragon Ball Z: Budokai,Fighting,PS2,3.09,2
Madden NFL 2002,Sports,PS2,3.08,2
World Class Track Meet,Sports,NES,3.08,2
Borderlands 2,Shooter,X360,3.07,2
The Legend of Zelda: A Link Between Worlds,Action,3DS,3.07,2
Donkey Kong,Platform,GB,3.07,3
The Sims: Vacation,Simulation,PC,3.07,2
Mass Effect 3,Role-Playing,X360,3.07,2
Kung Fu Panda,Action,X360,3.05,2
Far Cry 3,Shooter,X360,3.04,2
Epic Mickey,Platform,Wii,3.04,2
Saints Row 2,Action,X360,3.03,2
Rayman,Platform,PS,3.03,2
Killzone 2,Shooter,PS3,3.02,3
Tom Clancy's Splinter Cell,Action,XB,3.02,2
Mike Tyson's Punch-Out!!,Fighting,NES,3.02,2
WWE SmackDown! Shut Your Mouth,Sports,PS2,3.02,3
Gears of War: Ultimate Edition,Shooter,XOne,3.0,2
NBA 2K13,Sports,X360,3.0,2
Dragon Ball Z: Budokai Tenkaichi 3,Fighting,PS2,3.0,3
Middle-Earth: Shadow of Mordor,Action,PS4,2.99,3
Star Fox,Shooter,SNES,2.99,2
The Sims: Livin Large,Misc,PC,2.99,2
World Soccer Winning Eleven 6 International,Sports,PS2,2.99,3
Devil May Cry,Action,PS2,2.99,2
Animal Crossing: Happy Home Designer,Simulation,3DS,2.98,3
Battlefield: Bad Company 2,Shooter,PS3,2.97,3
The Sims 4,Simulation,PC,2.97,3
Star Wars: The Old Republic,Role-Playing,PC,2.97,2
Sonic Heroes,Platform,PS2,2.96,3
Kirby Super Star Ultra,Platform,DS,2.96,2
Hitman 2: Silent Assassin,Action,PS2,2.96,3
Street Fighter IV,Fighting,X360,2.95,2
Wave Race 64,Racing,N64,2.94,2
SOCOM II: U.S. Navy SEALs,Shooter,PS2,2.94,2
WWE SmackDown! vs. RAW 2006,Fighting,PS2,2.94,2
inFAMOUS,Action,PS3,2.94,2
Pac-Man Collection,Puzzle,GBA,2.94,2
Mass Effect,Role-Playing,X360,2.93,2
WarioWare: Smooth Moves,Puzzle,Wii,2.92,3
Cooking Mama: Cook Off,Simulation,Wii,2.91,2
Super Mario World 2: Yoshi's Island,Platform,GBA,2.91,2
FIFA 14,Sports,PS4,2.9,3
Titanfall,Shooter,XOne,2.9,2
Sonic Mega Collection Plus,Misc,PS2,2.9,2
Sega Superstars Tennis,Sports,X360,2.9,2
World Soccer Winning Eleven 7 International,Sports,PS2,2.9,3
Need for Speed: Most Wanted,Racing,PS3,2.89,3
Hot Shots Golf 3,Sports,PS2,2.89,2
Call of Duty: Finest Hour,Shooter,PS2,2.89,2
Zumba Fitness 2,Sports,Wii,2.88,2
Syphon Filter,Shooter,PS,2.88,2
Imagine: Babyz,Simulation,DS,2.88,2
Colin McRae Rally,Racing,PS,2.87,3
Call of Duty: Ghosts,Shooter,XOne,2.86,2
Madden NFL 13,Sports,X360,2.86,2
The Elder Scrolls III: Morrowind,Role-Playing,XB,2.86,2
Mortal Kombat,Fighting,PS3,2.85,2
F-Zero,Racing,SNES,2.85,2
Yoshi's Story,Platform,N64,2.85,2
Command & Conquer: Red Alert,Strategy,PC,2.85,2
Skylanders: Spyro's Adventure,Action,Wii,2.85,2
FIFA 16,Sports,PS3,2.85,3
Assassin's Creed: Brotherhood,Action,PS3,2.84,2
BioShock,Shooter,X360,2.83,2
Madden NFL 10,Sports,X360,2.83,2
Medal of Honor,Shooter,PS3,2.83,2
WWE SmackDown! vs. Raw,Fighting,PS2,2.83,2
Metroid Prime,Shooter,GC,2.82,2
Finding Nemo,Action,GBA,2.82,2
Myst,Adventure,PC,2.81,2
Need for Speed: Hot Pursuit,Racing,PS3,2.81,3
Imagine: Fashion Designer,Simulation,DS,2.81,2
WWE SmackDown! Here Comes the Pain,Fighting,PS2,2.8,2
Star Wars: The Force Unleashed,Action,X360,2.8,2
Yoshi's Island DS,Platform,DS,2.8,2
Hot Shots Golf,Sports,PS,2.79,3
Killzone 3,Shooter,PS3,2.79,2
A Bug's Life,Platform,PS,2.79,2
WWF SmackDown! Just Bring It,Fighting,PS2,2.79,2
Dragon Quest V: Tenkuu no Hanayome,Role-Playing,SNES,2.79,3
Mortal Kombat Trilogy,Fighting,PS,2.79,2
Battlefield 3,Shooter,PC,2.79,3
NBA Street,Sports,PS2,2.79,2
Professor Layton and the Last Specter,Puzzle,DS,2.79,3
Monster Hunter Tri,Role-Playing,3DS,2.79,2
Jak II,Platform,PS2,2.78,2
inFAMOUS: Second Son,Action,PS4,2.78,2
